Nome;ID;Link;Nome Categoria;ID Categoria;Costo;Difficoltà;Tempo Preparazione;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Ingrediente;ID Ingrediente;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità;Preparazione;ID;Quantità
Spaghetti alla Carbonara;1;https://ricette.giallozafferano.it/Spaghetti-alla-Carbonara;Primo Piatto;3;2;2;25;Spaghetti;234;5;Uova;90;3;Pepe Nero;24;1;Guanciale;117;3;Pecorino;178;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;2;Mescolamento;5;1;;;;;;
Spaghetti alle vongole;2;https://ricette.giallozafferano.it/Spaghetti-alle-vongole;Primo Piatto;3;3;2;40;Spaghetti;234;5;Aglio;107;2;Olio;163;2;Vongole;65;5;Prezzemolo;173;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;2;;;;;;;;;
Spaghetti Cacio e Pepe;3;https://ricette.giallozafferano.it/Spaghetti-Cacio-e-Pepe;Primo Piatto;3;2;2;20;Spaghetti;234;5;Pecorino;178;4;Pepe Nero;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;1;Mescolamento;5;3;;;;;;
Spaghetti all'Amatriciana;4;https://ricette.giallozafferano.it/Spaghetti-all-Amatriciana;Primo Piatto;3;2;2;35;Spaghetti;234;5;Pomodoro;253;3;Guanciale;117;3;Pecorino;178;2;Olio;163;1;Peperoncino;61;1;Vino;272;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;Rosolatura;2;2;;;;;;
Penne al baffo;5;https://ricette.giallozafferano.it/Penne-al-baffo;Primo Piatto;3;2;2;17;Penne;179;5;Prosciutto Cotto;118;3;Panna;80;3;Pomodoro;253;2;Prezzemolo;173;1;Olio;163;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;1;;;;;;;;;
Lasagne alla Bolognese;6;https://ricette.giallozafferano.it/Lasagne-alla-Bolognese;Primo Piatto;3;3;3;55;Pasta Sfoglia;192;4;Manzo;21;3;Pancetta;170;2;Carote;49;1;Sedano;54;1;Cipolla;165;1;Pomodoro;253;4;Olio;163;2;Vino;272;1;Pepe Nero;24;1;Besciamella;20;3;Burro;40;1;Parmigiano;172;3;;;;;;;;;;;;;;;;Cottura lenta;7;4;Forno;6;5;Rosolatura;2;2;Stufatura;9;2;;;
Parmigiana di melanzane;7;https://ricette.giallozafferano.it/Parmigiana-di-melanzane;Secondo Piatto;4;3;3;140;Melanzana;12;5;Mozzarella;153;3;Cipolla;165;1;Olio;163;2;Pomodoro;253;3;Parmigiano;172;3;Basilico;17;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;1;Forno;6;4;Rosolatura;2;2;Frittura;3;4;Cottura lenta;7;1
Gateau di patate;8;https://ricette.giallozafferano.it/Gateau-di-patate;Pasto Completo;2;2;2;100;Patata;188;5;Salame;213;3;Parmigiano;172;3;Olio;163;2;Mozzarella;153;3;Prosciutto Cotto;118;3;Uova;90;4;Pepe Nero;24;1;Pane;32;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;3;Forno;6;5;;;;;;;;;
Spaghetti allo scoglio;9;https://ricette.giallozafferano.it/Spaghetti-allo-scoglio;Primo Piatto;3;4;3;55;Spaghetti;234;5;Vongole;65;4;Scampi;221;4;Olio;163;2;Prezzemolo;173;2;Cozze;156;4;Calamari;239;4;Pomodoro;253;3;Aglio;107;2;Vino;272;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;4;;;;;;;;;
Arancine;10;https://ricette.giallozafferano.it/Arancini-di-riso;Antipasto;1;2;3;105;Riso;201;5;Burro;40;1;Zafferano;209;2;Caciocavallo;42;3;Pastella;18;2;Pane;32;2;Carne di Maiale;187;3;Pomodoro;253;3;Pepe Nero;24;1;Piselli;177;2;Olio;163;3;Vino;272;1;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Frittura;3;4;Stufatura;9;2;Rosolatura;2;1;;;
Pasta e fagioli;11;https://ricette.giallozafferano.it/Pasta-e-fagioli;Primo Piatto;3;2;1;125;Ditaloni;86;5;Pomodoro;253;3;Prosciutto;191;2;Fagioli;19;5;Strutto;126;2;Sedano;54;2;Aglio;107;2;Alloro;128;2;Pepe Nero;24;1;Cipolla;165;2;Carote;49;2;Rosmarino;207;1;Olio;163;1;;;;;;;;;;;;;;;;Cottura lenta;7;4;Rosolatura;2;3;;;;;;;;;
Pasta alla gricia;12;https://ricette.giallozafferano.it/Pasta-alla-gricia;Primo Piatto;3;3;2;25;Rigatoni;203;5;Pecorino;178;4;Guanciale;117;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;3;;;;;;;;;
Crema di zucca;13;https://ricette.giallozafferano.it/Crema-di-zucca;Primo Piatto;3;2;2;50;Zucca;193;5;Brodo Vegetale;266;3;Pepe Nero;24;1;Olio;163;2;Noce Moscata;160;1;Patata;188;3;Cipolla;165;1;Cannella;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rosolatura;2;4;Forno;6;4;Cottura lenta;7;4;;;;;;
Pasta al forno;14;https://ricette.giallozafferano.it/Pasta-al-forno;Primo Piatto;3;3;2;110;Rigatoni;203;5;Uova;90;2;Parmigiano;172;2;Scamorza;220;2;Besciamella;20;3;Salsiccia;216;2;Carne di Maiale;187;3;Pomodoro;253;4;Olio;163;1;Noce Moscata;160;1;Pepe Nero;24;1;Basilico;17;1;Prezzemolo;173;1;Pane;32;1;Aglio;107;1;;;;;;;;;;Forno;6;5;Bollitura;1;4;Rosolatura;2;2;;;;;;
Calamarata;15;https://ricette.giallozafferano.it/Calamarata;Primo Piatto;3;4;2;70;Calamarata;45;5;Calamari;239;4;Aglio;107;2;Peperoncino;61;1;Pomodoro;253;3;Vino;272;1;Pepe Nero;24;1;Olio;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;Forno;6;2;;;;;;
Pollo alle mandorle;16;https://ricette.giallozafferano.it/Pollo-alle-mandorle;Secondo Piatto;4;2;2;30;Pollo;58;5;Uova;90;2;Olio;163;1;Amido di Patate;189;2;Pepe Nero;24;1;Mandorle;4;4;Salsa di Soia;232;1;Germogli di Bambù;15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rosolatura;2;4;Cottura lenta;7;3;Marinatura;4;2;Bollitura;1;3;;;
Torta salata di melanzane;17;https://ricette.giallozafferano.it/Torta-salata-di-melanzane;Torta Salata;5;2;1;60;Pasta Sfoglia;192;5;Melanzana;12;5;Scamorza;220;2;Parmigiano;172;2;Pomodoro;253;1;Pepe Nero;24;1;Olio;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Forno;6;5;;;;;;;;;;;;
Vitello tonnato;18;https://ricette.giallozafferano.it/Vitello-tonnato;Antipasto;1;4;2;85;Vitello;265;5;Sedano;54;1;Carote;49;1;Cipolla;165;1;Aglio;107;1;Vino;272;1;Alloro;128;1;Chiodi di Garofano;66;1;Olio;163;1;Pepe Nero;24;1;Uova;90;2;Tonno;260;5;Sardine;215;2;Capperi;47;1;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;;;;;;;;;
Spaghetti con crema di burrata e melanzane;19;https://ricette.giallozafferano.it/Spaghetti-con-crema-di-burrata-e-melanzane;Primo Piatto;3;3;2;30;Spaghetti;234;5;Burrata;39;3;Basilico;17;1;Olio;163;1;Melanzana;12;3;Pinoli;182;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Frittura;3;2;Rosolatura;2;1;;;;;;
Insalata tiepida di polpo e patate;20;https://ricette.giallozafferano.it/Insalata-tiepida-di-polpo-e-patate;Secondo Piatto;4;3;2;85;Polpo;239;5;Patata;188;5;Alloro;128;1;Prezzemolo;173;2;Pepe Nero;24;1;Olio;163;2;Limone;130;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;5;;;;;;;;;;;;
Scaloppine al limone;21;https://ricette.giallozafferano.it/Scaloppine-al-limone;Secondo Piatto;4;2;2;20;Vitello;265;5;Succo di Frutta;104;3;Pepe Nero;24;1;Farina;100;1;Burro;40;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottura lenta;7;3;Rosolatura;2;4;;;;;;;;;
Melanzane al forno;22;https://ricette.giallozafferano.it/Melanzane-al-forno;Antipasto;1;1;1;55;Melanzana;12;5;Pomodoro;253;3;Scamorza;220;3;Olive;164;1;Capperi;47;1;Olio;163;1;Pepe Nero;24;1;Origano;168;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Forno;6;5;;;;;;;;;;;;
Seppie con piselli;23;https://ricette.giallozafferano.it/Seppie-con-piselli;Secondo Piatto;4;3;3;70;Piselli;177;4;Seppie;85;5;Cipolla;165;1;Olio;163;1;Prezzemolo;173;1;Brodo Vegetale;266;2;Pomodoro;253;2;Vino;272;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stufatura;9;4;Cottura lenta;7;3;;;;;;;;;
Torta salata di zucchine;24;https://ricette.giallozafferano.it/Torta-salata-di-zucchine;Torta Salata;5;3;3;75;Farina;100;2;Olio;163;2;Aceto;268;2;Timo;252;1;Zucchina;276;4;Scalogno;229;2;Pepe Nero;24;2;Uova;90;3;Scamorza;220;3;Parmigiano;172;2;Pancetta;170;2;;;;;;;;;;;;;;;;;;;;;;Stufatura;9;3;Forno;6;4;;;;;;;;;
Polpettine di tonno e ricotta;25;https://ricette.giallozafferano.it/Polpettine-di-tonno-e-ricotta;Secondo Piatto;4;2;2;30;Tonno;260;4;Ricotta;202;4;Alice;2;2;Capperi;47;1;Prezzemolo;173;1;Uova;90;2;Parmigiano;172;2;Pepe Nero;24;1;Pane;32;1;Olio;163;3;;;;;;;;;;;;;;;;;;;;;;;;;Frittura;3;5;;;;;;;;;;;;
Polpette di melanzane;26;https://ricette.giallozafferano.it/Polpette-di-melanzane;Antipasto;1;2;2;90;Melanzana;12;4;Pane;32;1;Parmigiano;172;2;Uova;90;2;Aglio;107;1;Pepe Nero;24;1;Prezzemolo;173;1;Olio;163;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frittura;3;5;Forno;6;2;;;;;;;;;
Conchiglioni ripieni;27;https://ricette.giallozafferano.it/Conchiglioni-ripieni;Primo Piatto;3;3;3;105;Conchiglioni;73;4;Pomodoro;253;3;Parmigiano;172;2;Olio;163;2;Cipolla;165;2;Pepe Nero;24;1;Carne di Maiale;187;3;Manzo;21;3;Ricotta;202;2;Mozzarella;153;2;Vino;272;1;Uova;90;2;Aglio;107;1;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;4;Rosolatura;2;2;Forno;6;3;;;
Risotto allo Zafferano;28;https://ricette.giallozafferano.it/Risotto-allo-Zafferano;Primo Piatto;3;3;3;30;Zafferano;209;3;Riso;201;4;Burro;40;2;Cipolla;165;2;Parmigiano;172;2;Vino;272;1;Brodo Vegetale;266;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mescolamento;5;3;Rosolatura;2;2;;;;;;;;;
Couscous alle verdure;29;https://ricette.giallozafferano.it/Couscous-alle-verdure;Primo Piatto;3;2;2;40;Couscous;78;5;Olio;163;2;Curcuma;262;1;Carote;49;2;Melanzana;12;2;Pomodoro;253;2;Peperoncino;61;2;Cipolla;165;2;Aglio;107;2;Zucchina;276;2;Piselli;177;2;Zenzero;108;1;Menta;147;1;;;;;;;;;;;;;;;;Rosolatura;2;4;Cottura lenta;7;4;;;;;;;;;
Polpette al sugo;30;https://ricette.giallozafferano.it/Polpette-al-sugo;Secondo Piatto;4;2;1;50;Manzo;21;5;Salsiccia;216;3;Pane;32;2;Parmigiano;172;2;Uova;90;3;Prezzemolo;173;1;Origano;168;1;Noce Moscata;160;1;Pepe Nero;24;1;Olio;163;1;Pomodoro;253;3;;;;;;;;;;;;;;;;;;;;;;Cottura lenta;7;3;Rosolatura;2;4;;;;;;;;;
Pasta e zucchine;31;https://ricette.giallozafferano.it/Pasta-e-zucchine;Primo Piatto;3;1;1;20;Farfalle;92;5;Zucchina;276;4;Basilico;17;2;Olio;163;1;Pepe Nero;24;1;Aglio;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;Rosolatura;2;2;;;;;;
Salmone al forno;32;https://ricette.giallozafferano.it/Salmone-al-forno;Secondo Piatto;4;3;2;50;Salmone;214;5;Patata;188;3;Limone;130;2;Vino;272;1;Olio;163;1;Prezzemolo;173;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Forno;6;5;;;;;;;;;;;;
Calamari ripieni;33;https://ricette.giallozafferano.it/Calamari-ripieni;Secondo Piatto;4;4;2;60;Calamari;239;5;Vino;272;2;Aglio;107;1;Pane;32;1;Alice;2;4;Uova;90;2;Parmigiano;172;1;Vino;272;1;Prezzemolo;173;1;Pepe Nero;24;1;Olio;163;1;;;;;;;;;;;;;;;;;;;;;;Cottura lenta;7;4;Rosolatura;2;3;;;;;;;;;
Pasta e patate alla napoletana;34;https://ricette.giallozafferano.it/Pasta-e-patate-alla-napoletana;Primo Piatto;3;2;2;70;Pasta Mista;149;5;Patata;188;3;Sedano;54;1;Carote;49;1;Cipolla;165;1;Strutto;126;3;Pomodoro;253;1;Rosmarino;207;1;Parmigiano;172;1;Olio;163;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;3;;;;;;;;;
Gnocchi alla romana;35;https://ricette.giallozafferano.it/Gnocchi-alla-romana;Primo Piatto;3;2;3;50;Semolino;227;4;Burro;40;2;Parmigiano;172;2;Latte;146;1;Uova;90;2;Noce Moscata;160;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;3;Forno;6;3;;;;;;;;;
Pizzoccheri alla valtellinese;36;https://ricette.giallozafferano.it/Pizzoccheri-alla-valtellinese;Primo Piatto;3;2;3;45;Pizzoccheri;184;4;Burro;40;3;Parmigiano;172;3;Latteria;127;2;Patata;188;2;Aglio;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Cottura lenta;7;3;;;;;;;;;
Pasta e lenticchie;37;https://ricette.giallozafferano.it/Pasta-e-lenticchie;Primo Piatto;3;1;2;70;Ditaloni;86;5;Lenticchie;132;3;Pancetta;170;3;Pomodoro;253;3;Carote;49;1;Cipolla;165;1;Sedano;54;1;Brodo Vegetale;266;2;Aglio;107;1;Rosmarino;207;1;Timo;252;1;Parmigiano;172;1;Peperoncino;61;1;Olio;163;1;Pepe Nero;24;1;;;;;;;;;;Bollitura;1;4;Stufatura;9;3;Rosolatura;2;2;;;;;;
Pasta allo scarpariello;38;https://ricette.giallozafferano.it/Pasta-allo-scarpariello;Primo Piatto;3;2;1;20;Spaghetti;234;5;Pomodoro;253;3;Pecorino;178;2;Parmigiano;172;1;Basilico;17;1;Peperoncino;61;1;Olio;163;1;Aglio;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;2;;;;;;;;;
Cannelloni;39;https://ricette.giallozafferano.it/Cannelloni;Primo Piatto;3;2;2;140;Farina;100;5;Uova;90;2;Pomodoro;253;3;Besciamella;20;3;Salsiccia;216;3;Manzo;21;3;Parmigiano;172;1;Olio;163;1;Cipolla;165;1;Sedano;54;1;Carote;49;1;Vino;272;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;Forno;6;5;Cottura lenta;7;3;Rosolatura;2;2;;;;;;
Sushi;40;https://ricette.giallozafferano.it/Sushi;Pasto Completo;2;3;3;110;Riso;201;5;Aceto;268;2;Zucchero;245;1;Alghe;225;2;Avocado;13;2;Carne di Granchio;79;3;Salmone;214;3;Wasabi;271;2;Tonno;260;3;Salsa di Soia;232;1;Zenzero;108;1;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;5;;;;;;;;;;;;
Gamberoni al forno;41;https://ricette.giallozafferano.it/Gamberoni-al-forno;Secondo Piatto;4;3;2;32;Gambero;190;5;Limone;130;1;Olio;163;1;Pepe Nero;24;1;Prezzemolo;173;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Forno;6;5;;;;;;;;;;;;
Pasta alla zozzona;42;https://ricette.giallozafferano.it/Pasta-alla-zozzona;Primo Piatto;3;3;2;40;Rigatoni;203;5;Guanciale;117;3;Salsiccia;216;3;Pecorino;178;3;Pomodoro;253;3;Olio;163;1;Uova;90;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;2;;;;;;;;;
Paccheri con carciofi alla carbonara;43;https://ricette.giallozafferano.it/Paccheri-con-carciofi-alla-carbonara;Primo Piatto;3;3;2;50;Paccheri;169;5;Carciofo;9;3;Uova;90;2;Pancetta;170;3;Parmigiano;172;1;Pecorino;178;2;Scalogno;229;1;Vino;272;1;Olio;163;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;4;Rosolatura;2;2;;;;;;;;;
Ossibuchi alla milanese;44;https://ricette.giallozafferano.it/Ossibuchi-alla-milanese;Secondo Piatto;4;3;3;90;Manzo;21;4;Brodo di Manzo;22;2;Cipolla;165;2;Farina;100;2;Vino;272;1;Olio;163;2;Burro;40;2;Pepe Nero;24;1;Prezzemolo;173;2;Aglio;107;2;Limone;130;1;;;;;;;;;;;;;;;;;;;;;;Cottura lenta;7;4;Rosolatura;2;2;;;;;;;;;
Trofie con crema di zucchine e pancetta;45;https://ricette.giallozafferano.it/Trofie-con-crema-di-zucchine-e-pancetta;Primo Piatto;3;2;2;30;Trofie;256;5;Zucchina;276;3;Pancetta;170;3;Aglio;107;1;Olio;163;1;Pepe Nero;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bollitura;1;5;Rosolatura;2;3;;;;;;;;;
Mozzarella in carrozza;46;https://ricette.giallozafferano.it/Mozzarella-in-carrozza;Antipasto;1;2;2;28;Pane;32;4;Mozzarella;153;5;Uova;90;3;Farina;100;3;Olio;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Frittura;3;5;;;;;;;;;;;;
